node1,node2,weight
waterquality,point,2
policy,interventions,2
morphogenesis,tomato,4
hazards,africa,2
population,climate-change,2
geographicalvariation,population,2
brainnetworks,fmridata,2
elimination,reduction,2
united-states,cities,4
statisticaltechniques,central-asia,2
habitat,index,2
landsat,future,2
intermediatefilamentinclusiondisease,dementia,4
rain-forest,predation,2
regionalization,phosphate,2
neurofibrillarytangles,distance,2
long-termpotentiation,catstriatecortex,2
h5n1,virus-infection,2
chlorophyll-a,atmosphericcorrection,2
geographicsurveillance,multiscalefragmentationprofiles,2
precipitation,validation,4
water,particulate,2
sea-surface,precipitation,4
heavy-metalpollution,water,2
discretewavelettransform,architecture,2
repetitionpriming,environmentalsounds,4
australia,infection,6
sites,trend,2
pattern,cloning,2
dailyrainfall,atlantic,2
united-states,space,4
probabilisticforecasting,interaction,2
detrendedfluctuationanalysis,series,4
heavy-metals,sourceapportionment,2
risk,analysis,4
componentanalysis,rainfall-runoffmodel,2
emergency,model,2
spatialpointpatterns,dynamics,4
spatial-patterns,transmission,2
seasonal-variations,contamination,2
epidemiology,wildlife,8
mutants,patterns,2
long-term-memory,mechanisms,2
modeling,agriculture,2
clusteranalysis,patterns,24
biodiversity,spatial-distribution,2
beach,exposure,2
at-riskmentalstate,review,2
physicochemical,distributions,2
livingcells,death,2
fmridata,data,2
geographicalinformationsystems,catchment,2
principalcomponents,anomalies,2
chronicwastingdisease,muledeer,4
conflict,repeat,2
phasetransition,scalpeeg,2
multifractalanalysis,region,4
profile,networks,2
linear,regression,2
temporal,climateextremes,2
primaryvisual-cortex,cortical-neurons,4
in-vitro,brain,4
reaction-diffusion,kinetics,2
electrocorticography,language,2
developmentalexpression,nervous-system,2
characteristic,emissions,2
epileptogeniczone,spikes,2
homeoboxgenes,conservation,2
motorcortex,network,4
classification,hemorrhagic-fever,2
clusteringalgorithms,circulation,2
long-term-memory,dendrites,2
diversity,woodlands,2
variation,health,2
marine-environment,strategies,2
influenza,surveillance,2
recombination,natural-populations,2
eutrophiclake,bacteria,4
clustering,infection,16
surfacewaterquality,istanbul,2
channels,model,4
genome-wideanalysis,arabidopsis,2
neglect,rats,2
aquifer,iran,2
escherichia-coli,river-basin,2
geographicinformationsystems,risk,4
nmdareceptors,cortical-neurons,2
basalganglia,monkey,4
development,sequencealignment,2
low-altitude,magnetosphericcusp,4
variation,basin,2
primaryvisualcortex,oxygenation,2
anteriorcingulatecortex,event-relatedpotentials,4
oceanic,lithosphere,2
primaryvisual-cortex,singleneurons,2
western,mexico,2
fields,infection,2
shearwavesplitting,tomography,2
flux-transferevents,nonlineardynamics,2
reptiles,snakes,2
x-rays:galaxies,m31,2
impact,greece,2
cycle,area,2
earthquakes,de-fucaridge,2
development,virus,2
nino-southern-oscillation,variability,4
melioidosis,agent,6
bayesian,design,2
activation,sensitivity,4
mutualinformation,defaultmode,2
flow,shear,2
escherichia-coli,kinase,2
schistosomiasis,spatialpattern,2
flocks,evolution,2
responseproperties,representation,2
groundwater,variability,2
geostatisticalanalysis,food,2
spatial-analysis,hong-kong,2
achaete-scute,disk,2
dynamics,florida,2
computed-tomography,network,2
microstates,sleep,2
macrophytes,zooplankton,4
dynamics,light,4
rat,expression,12
beta-diversity,record,2
denguefever,statistical,2
informationtheory,pointpatternanalysis,2
climatechange,dynamics,4
motor-vehiclecrashes,severity,2
clustering,imagery,2
nucleation,coexistence,4
synchrony,measles,2
space-timeclustering,infection,4
water,diffusion,2
surveillance,features,2
temporaland,inventory,2
proteoglycan,matrix,2
atlantic,management,2
recruitment,pacific,2
constraints,dynamics,2
model,relocation,2
pulses,fusion,2
theory,statistics,2
mitochondrial-dna,datasets,2
history,variation,2
avianinfluenza,clusters,2
ndvi,productivity,4
invertebrate,brain,2
frequency-magnitudedistribution,depth,2
particulatematter,variability,4
pulses,interface,2
alpha-internexin,pathology,4
united-states,instrument,2
simulations,states,2
knox,risk-factors,2
blood-flow,motorcortex,2
magnetoencephalography,fmridata,2
heterotrophicbacteria,populations,2
incidence,france,2
circulation,dispersal,2
spatio-temporal,image,2
electroencephalogram,cerebral-cortex,2
sediments,reactors,2
chemicalhydrography,light,2
clustering,dataanalysis,4
istanbul,particulatematter,2
sea,clusters,2
productivity,mammals,2
order,dna,2
clustering,temporalevolution,2
protein,channel,2
factoranalysis,principalcomponentanalysis,26
motorneuron,cell-death,2
communities,level,2
satellitedata,dataset,2
functionalmri,future,2
environmental,chesapeakebay,2
mexico,geography,4
fmri,featureextraction,4
hoxcluster,dna,2
snow,fluctuations,2
time-series,sets,2
velocimetry,velocity,6
bacterioplankton,enrichment,2
adaptive,algorithm,2
sensitivity,oxygenation,2
zooplanktoncommunity,spatial-distribution,2
effectivepopulation-size,diversity,2
forest-fires,area,2
diffusion,impact,2
onset,risk,2
superiortemporalsulcus,location,2
transform,20th-century,2
great-barrier-reef,empirical-evaluation,2
environmentalfactors,riverestuary,2
epidemiology,zoonosis,4
surface,precipitation,2
new-mexico,lake,2
stresstransfer,behavior,2
spatialanalysis,canadian,2
interplanetaryphysics,reconnection,2
wavelets,regression,2
stem-cells,system,2
primarysomatosensorycortex,functionalmri,6
policy,england,2
spatial-temporalpatterns,atmosphericcirculation,2
marinefishes,scale,2
energy,residualanalysis,2
forebrain,mouse-brain,2
childhoodleukemia,tests,2
china,county,2
space-timeclustering,houston,2
lisa,queensland,2
self-organizingmaps,india,2
meta-analysis,hierarchical,2
plant,united-states,2
hox,homeoboxgene,4
wildlife,worldwide,2
epidemic,virus,12
measurement,trendanalysis,2
parallel,responses,2
deforestation,level,2
abundance,management,12
time-series,products,2
dnareplication,patterns,2
gis,dunes,2
computersimulation,multilocusgenotypedata,2
geovisualanalytics,visualization,2
interplanetarymagnetic-field,reconnection,6
neuralnetwork,unsupervisedlearning,2
extinction,lesions,2
in-vivo,messenger-rna,2
clusteranalysis,ontario,4
outbreakdetection,cluster,2
timeseries,lodgepolepine,2
precipitation,system,8
phylogeography,molecularphylogeography,2
populations,leukemia,2
epidemiology,spatial-analysis,18
plant,carbon,2
complex,southerncalifornia,4
kernel,habitatselection,2
humanvisual-cortex,tracking,2
selectivity,areamt,2
turbulence,cumulus,2
earthquakeswarms,high,2
metastasis,invasion,4
voxelpattern-analysis,fmridata,4
ca2+sparks,contraction,2
habitat,mediterranean,2
infectious-disease,culicidae,2
sourcelocalization,localization,4
program,area,2
dispersion,fields,2
particulatematter,system,2
communication,success,2
artificialneural-networks,gcm,2
diptera,africa,2
structure,dgge,4
spatial-pattern,boundaries,2
maine,minnesota,2
regressiontrees,china,2
deer,dynamics,2
summermonsoon,centralnepal,2
decision-making,recognition,2
watershed,runoff,2
spread,infection,2
principalcomponent,pollution,2
design,contamination,2
oryctolagus-cuniculus,epidemiology,2
landscape,effects,2
incidence,risk,4
currentsystem,plasmasheet,2
humanvisual-cortex,likelihood,2
imagery,areas,2
corticaldysplasia,rat,2
climatology,anomalies,2
waves,activation,2
canopy,west-nile-virus,2
physicochemical,thalassia-testudinum,2
heterogeneity,overlap,2
communitystructure,bottom-up,2
concentrations,river,2
attenuation,models,2
enrichmentfactor,trace-metals,6
heterochromatin,mammalian-cells,2
surface-water,cluster-analysis,2
rabbit,westerneurope,2
indian-ocean,morphology,2
reactivation,strike-slipfaults,2
medulloblastoma,epidemiology,4
seasonal-variations,china,4
landscapeecology,elevationalgradient,2
cyanobacteria,phosphorus,4
plasmodium-falciparummalaria,topography,2
modeling,geostatisticalanalysis,2
recordings,spect,2
tidalflats,spatialpatterns,2
fauna,abundance,4
climate,responses,4
objectrecognition,auditory-cortex,2
centralnervoussystem,central-nervous-system,2
remotesensing,unsupervisedclassification,2
schizophrenia,at-riskmentalstate,2
succession,mussels,2
karst,system,2
gene,dynamics,2
ground-based,daysidemagnetopause,2
holocene,dynamics,2
spatialworkingmemory,temporal-lobe,2
determinants,europe,2
tuberculosis,projections,2
clustering,cells,4
coastalwaters,river,2
formation,domains,2
ascidian,cytoplasm,2
seasonaldynamics,sea,2
saccharomyces-cerevisiae,cluster,2
northwest,heterogeneity,2
temporalvariations,urban,2
clustering,energy,4
determinants,verbal,2
riskassessment,remotesensing,2
seabirds,samples,2
variations,pm2.5,2
markers,viruses,2
newzealand,low-temperature,2
trends,india,2
waves,region,2
trmm,centralnepal,4
landscape,gis,8
height,spatial-distribution,2
children,project,4
factor,multivariatestatisticaltechniques,2
contagion,systems,2
melanogaster,disk,2
sediment,variability,2
plains,convection,2
propagation,chain,2
america,resolution,2
tectonics,mantle,2
heavy-metals,parameters,4
atlanticcod,dispersal,2
visualcortex,neuron,2
southern-ocean,chlorophyll,2
rat-brain,calcium,2
statistical,spatial-distribution,2
clusterdetection,network,2
ndvi,discrimination,2
transgenicmice,formation,4
parahox,hoxgenes,2
cloudclusters,regimes,2
culture,exocytosis,2
ryanodine,skeletal-muscle,2
visual-cortex,systems,2
universe,star-formation,2
environmentalfactors,patterns,2
fields,cover,2
homeobox,limb,4
avhrr,agriculture,2
patterns,parentageanalysis,2
nucleus,mass-spectrometry,2
balticsea,ecosystems,2
independentcomponentanalysis,patterns,10
long-term,spatialscales,2
multiscalefragmentationprofiles,andhierarchicalmarkovtransitionmatrix,2
phylogeny,leucineincorporation,2
messenger-rnas,crystal-structure,2
individuals,program,2
aeolian,dunes,2
dengue,hemorrhagic-fever,6
gulfof,walleyepollock,2
absorptionspectroscopy,emission,2
dendroecology,principalcomponentanalysis,2
tissues,growth,2
surgery,localization,4
dispersal,vaccination,2
capreolus-capreolus,space,2
2nd-order,knowledge,2
presurgicalevaluation,intractableepilepsy,2
climatechange,climate-changeimpacts,2
communitycomposition,streams,2
debrisflow,multivariate,2
nitrification,populations,4
column,monkeyinferotemporalcortex,2
populations,distance,2
daysidemagnetopause,instability,2
forest,regeneration,2
low-frequency,signal,2
nonstationarity,approximation,2
plasmasheet,particle,4
alzheimers-disease,cytoarchitectonicmaps,2
fibers,differentiation,2
frequency,posterior,2
sahel,landscape,4
basins,frequencies,2
regional,southchina,2
grace,china,2
faultzone,california,2
solids,wall,2
morphology,surfaces,2
reproductivesuccess,microsatelliteloci,2
memory,interferometry,2
africa,india,2
h-iiregions,clouds,2
cluster-sizeinference,alzheimers-disease,2
traits,reserves,2
modis,channel,2
neuralnetwork,artificialneural-networks,2
principalcomponentanalysis,airquality,8
ionosphere,dawn-duskasymmetry,2
earthquakesourceobservations,fault,2
timeseries,model,2
epicenter,mountainpine-beetle,2
spread,management,8
test-retestreliability,statistical-methods,2
impacts,spread,2
hox,clusters,2
regional,mexico,2
discreteelementmethod,algorithm,2
16sribosomal-rna,phylogenetic,2
spatialworking-memory,functionalconnectivity,2
positronemissiontomography,human,2
specificity,features,2
extracellular-matrix,invasion,2
defaultmode,attention,2
health,disease,8
habitatuse,variables,2
climate-change,catchment,2
stress,resistance,2
uncinatefasciculus,temporal-lobe,2
central-nervous-system,embryonic-development,2
supportvectormachine,neuralnetwork,2
site-specificmanagement,electromagneticinduction,4
geneticstructure,patterns,2
visual-cortex,synapticplasticity,2
temporalcolinearity,dna,2
microarray,infiltration,2
clusteranalysis,lung-cancer,2
eggsize,seasonal-variation,4
multivariatestatisticaltechniques,land-use,12
long-distancedispersal,population-genetics,2
ichthyoplankton,gulf-of-mexico,2
monitoring,statistical-methods,2
bipolardisorder,brain,2
microsatellites,variation,2
temporal,dorsolateralprefrontalcortex,2
projections,predictions,2
cluster,alps,2
indexes,europe,2
cortex,neglect,2
polymerase-chain-reaction,epidemiology,2
westernunited-states,cover,2
multicriteriarankingsandfuzzyranks,markovrandomfields,2
spatio-temporalclustering,visualization,2
microstates,default-modenetwork,2
spatialstatistics,cover,2
stable-isotope,salt-marsh,2
corticaldevelopment,neurogenesis,2
nutrient,perspective,2
aftershocks,patterns,2
uncertainityanalysis,thematicclassificationaccuracy,2
allozymes,spatialautocorrelation,4
foxvulpes-vulpes,infectious-diseases,2
waterquality,multivariate,6
everglades,samples,2
dynamics:seismotectonics,rupture,2
information-systems,travel,2
sea,time,2
streams,australia,2
abundance,robust,2
c-elegans,plants,2
regression,frenchalps,2
italianalps,tree,2
georgesbank,bottom-up,2
capitellaspi,transcriptionfactors,4
multilocusgenotypedata,fishes,2
neurons,regions,2
geostatistics,dynamics,2
metals,principalcomponentanalysis,2
element,particle,2
geographicsurveillance,fragmentationprofiles,2
diffusiontensorimaging,mooddisorders,2
temporalanalysis,precipitation,4
singleneurons,computation,2
metapopulation,growth,2
multivariatestatisticaltechniques,agriculturalsoils,2
hurricanes,morphometry,2
transport,persistentorganicpollutants,2
mixed,areas,2
weather,models,2
abundance,spain,2
beta-diversity,communitystructure,2
soil,terrain,6
markov,activation,2
spatialdistribution,mudvolcanoes,2
transmissionelectron-microscopy,growth,2
analysis,pcbs,2
sexualselection,ecology,2
escherichiacoli,variability,2
heterotrophicbacteria,association,2
canadian,sea,2
stochasticresonance,driven,4
temporal,canadianprairies,2
californiacurrent,system,2
fishlarvae,spatial,2
factoranalysis,communities,2
spatialscanstatistic,great-britain,2
seagrass,communities,2
conservation,predation,4
k-meansclustering,separation,2
capitellaspi,gsx,2
gpi-anchoredproteins,fluorescencemicroscopy,2
land-use,sweden,2
urbangrowth,prediction,2
israel,population-structure,2
pollution,lead,10
peripheralnervous-system,protein,2
cattle,wildlife,2
structure,stability,2
products,temperature,2
spatialassociation,rice,2
enhancer,search,2
korea,phosphorus,2
globalwarming,temperature,2
cascadiasubductionzone,beneath,2
variation,ph,4
multivariate,parameters,2
geographicsurveillance,formultiscalemapandsurfaceanalysis,2
shelf,phytoplanktonbiomass,2
embryos,morphogenesis,4
nuclei,organization,2
seabird,predator,2
nitrogen-dioxide,pm10,2
emplacement,features,2
multivariate,coloradofrontrange,2
production,methyljasmonate,2
system,brazil,2
mri,visualcortex,2
tropicalrain-forest,tree,2
clustering,services,2
spatialstatistics,cells,2
environmental,time-series,2
ichthyoplankton,alaska,2
sexual,adolescent,2
corticaldysplasia,surgery,2
summermonsoon,central-asia,2
bangladesh,mobilization,2
population-structure,vegetation,2
geographicinformationsystems,habitatselection,2
spatio-temporalpatterns,interannualvariability,2
england,clusters,2
land-use,region,2
magnetosphericphysics,northwardimf,2
saccharomyces-cerevisiae,s-phase,2
genes,marine-sediments,2
spatialscale,geographic,2
model,australia,2
magneticresonanceimaging,perfusion,2
evolution,relaxation,2
neural-networks,availability,2
westernnorthpacific,ecosystem,2
wetland,chemistry,4
seismicity,memory,4
nervous-system,motor-neurons,2
long-termchanges,adriaticsea,2
functionalmri,activation,2
chronicwastingdisease,dynamics,2
denmark,marinefish,2
population-structure,community,4
speciesrichness,random,2
easternbering-sea,distributions,2
land-use,conservation,2
spectrumdisorders,brain,4
dendroecology,regeneration,2
invasion,oxygen,2
south,water-vapor,2
environmentalconditions,diversity,2
systemsbiology,rates,4
isolation-by-distance,clustersampling,2
variability,scalingproperties,2
dendrites,survival,2
modis,frequency,4
sets,corridors,2
dunes,dynamics,2
aerosol,fragment-length-polymorphism,2
factors,proneuralclusters,2
smoothing,dependence,2
posteriorparietalcortex,information,2
macroinvertebrates,species,2
mammalian-cells,nuclei,4
westnilevirus,area,2
activation,meg,2
multivariate-analysis,availability,2
highlypathogenicavianinfluenza,chickens,2
spatialepidemiology,health,2
mass-spectrometry,biology,2
dispersal,spatialscale,4
pca,north-sea,2
spatialautocorrelation,diversity,4
multitemporalmodisimages,time-series,2
barley,spatial,2
aerosols,southeasternunited-states,2
disease,therapy,2
usa,assemblage,2
patterns,zonation,6
endothelial-cells,differentiation,4
eeg,functionalimaging,4
population-density,model,2
coastalarea,upperslope,2
networks,metrics,2
conservationgenetics,evolution,2
cluster,poland,2
microsatellites,genetics,2
cluster-analysis,regimes,4
site,age,2
disease,livestock,2
variance/meanratio,cortex,4
paradigm,medialtemporal-lobe,2
regularization,prediction,2
zones,depth,2
great-britain,lessons,2
population,singapore,2
outlets,ecology,2
divergentselection,microsatelliteloci,2
gis,integration,2
oscillation,humanbrain,2
landscape,genetics,2
variation,multivariatestatisticaltechniques,2
phylogeneticdiversity,fresh-water,2
parahox,mouse,2
beringsea,variability,2
molecular,signatures,2
regionalechelonpartitions,outbreaks,2
european,cluster-analysis,2
parameters,eradication,2
northwest,californiacurrent,2
functionalmagneticresonanceimaging,surface-basedanalysis,2
risk-factors,france,2
detrendedfluctuationanalysis,organization,2
biodiversity,recruitment,2
drosophila,peripheralnervous-system,6
multivariateanalysis,coast,2
inversion,k-means,2
infection,acutelymphoblastic-leukemia,2
species-diversity,sea,2
physicochemical,temporalvariation,2
pcbs,persistentorganicpollutants,4
hazard,movements,2
bayesian,health,2
hydrology,french-polynesia,2
borealforest,emissions,2
coulombstresschanges,stress,2
risk,framework,4
poyanglake,metaanalysis,2
scale,regression,2
epilepsy,seizureonset,6
management,beaches,2
temperature,availability,2
spatialmodelling,multitemporalmodisimages,2
statisticaltechniques,statistics,2
anthrax,population,2
neuralnetworks,structure,2
carnivore,spatial-organization,2
sea,quality,2
spatialworkingmemory,brain-development,2
generation,farmers,2
intermittency,elements,2
subductionzone,beneath,2
mri,moderate,2
effectivepopulationsize,microsatelliteloci,4
parahox,gut,2
melioidosis,transmission,4
fusion,simulation,2
precipitation,space,2
aftershocks,prediction,2
clustering,magnetic-resonance,2
gene,polymorphisms,2
northwesternargentina,patterns,2
basaldendrites,network,2
context,memory,2
correlations,tectonics,2
resonanceimaging,functionalmri,2
public-health,epidemiology,2
clustering,chagasdisease,2
virus,mosquito,4
dynamics:seismotectonics,assessment,2
temporallobeepilepsy,brainimages,2
cerebellum,seizures,2
state,snakes,2
turbulence,basins,2
differentiation,differentialexpression,2
principalcomponentanalysis,gomtiriver,8
yieldvariability,nitrate,2
san-andreasfault,behavior,2
risk,africa,6
carbon,growth,2
clusteranalysis,brachiopod,2
growthconeguidance,gene,2
nervous-system,generation,2
riskassessment,childhoodleukemia,2
apoptosis,inhibitors,2
rice,impacts,2
uncertainty,inventory,2
multiplesclerosis,childhood,2
spatial,climate-changeimpacts,2
reaction-diffusion,dynamics,2
sizedistribution,channel,2
componentanalysis,land-surfacemodel,2
epidemiology,taiwan,2
volcanicactivity,magnitude,2
synchrony,landscapes,2
argentina,venezuela,2
bacteria,leucineincorporation,2
asymmetry,dopamine,2
earthquake,diffusion,2
associativememory,bulb,2
ultra-high-risk,anteriorcingulatecortex,2
landsat,qualityassessment,2
trends,areas,4
death,disk,2
spatio-temporalanalysis,series,2
geneflow,microsatelliteloci,2
cluster,clouds,2
zooplankton,recruitment,4
geographic,pollution,2
parameters,patterns,8
cingulatecortex,feedback,2
community,deforestation,2
macroalgae,coast,2
transgenicmice,mesoderm,4
efficiency,small-worldnetworks,2
endophenotypes,relatives,4
trace-metal,pollution,2
tanzania,worldwide,2
analysis,iberianpyritebelt,2
function,field,2
kenya,coexistence,2
childhoodleukemia,integration,2
wildbirds,virus-infection,2
physiologicalnoise,sensitivity,2
schizophrenia,locomotion,2
monkeyinferotemporalcortex,striatecortex,2
natural-populations,f-statistics,2
self-organizingmaps,dependence,2
in-vitro,biology,2
mesenchymalstem-cells,expression,2
us,impact,2
northsea,diversity,2
development,winter-wheat,2
temporalvariation,mediterraneansea,2
dependent,dataanalysis,2
ripley'sk,woodlands,2
tibetanplateau,grace,2
diseasesurveillance,rainbow-trout,2
erp,potentials,2
multivariatestatisticalanalysis,apportionment,2
spatialstatistics,western-europe,2
epicenter,spatialdistribution,2
switzerland,disturbance,2
monitoring,land-usechange,2
geomagnetictail,nonlineardynamics,2
spatio-temporalclustering,users,2
dti,white-matter,2
serbia,north-atlanticoscillation,2
natural-populations,stability,2
persistence,determinants,2
public-health,disease,6
genetic,incidencetrends,2
speciesrichness,distributions,2
cerebral,data-drivenanalysis,2
habitat,fragmentedlandscapes,2
westernpacific,scale,2
2nd-orderanalysis,viruses,2
current,array,2
non-negativematrixfactorization,signatures,2
hoxcluster,evolution,6
clustersampling,seascapegenetics,2
blind,brain,2
concentrations,issues,2
separation,domain,2
eeg,spatial,2
fmritime-series,number,2
temporal,schistosomiasis,2
sea-levelrise,beaufortsea,4
viruses,bacteria,2
white-taileddeer,deer,2
filter,dynamical-systems,2
incidence,genetic,2
environment,patterns,12
mosaic,scale,2
biodiversityconservation,biodiversity,2
gradient,validation,2
death,inhibitors,2
defaultmode,hypothesis,2
habitatsuitability,population-structure,2
betadiversity,riversystems,2
hierarchical,secondary,2
time-seriesanalysis,interannualvariability,2
markers,temperature,4
land-use,apportionment,8
aerosol,sequence,2
functionalmri,dynamics,2
saccharomyces-cerevisiae,pathway,2
competition,factors,2
biomass,quality,4
agriculturalsoils,quality,2
wave,scales,2
microseismic,earthquake,2
giantpetrels,scale,2
delineation,predators,2
intensityfunction,occurrences,2
sea-levelrise,beaches,4
escherichiacoli,dairyfarms,2
geographicalinformationsystems,prevalence,2
seismicclusters,seismicactivity,2
type1diabetes,infections,2
dynamics,species-diversity,4
userfriendlysoftwaresystem,populations,2
functionaltraits,leaf-area,4
medial,prefrontalcortex,6
strategies,paradigm,2
temporaltrends,ndvidata,2
kernelanalysis,resources,2
hospitaladmissions,matter,2
urbanization,statistics,2
temporalclusteringanalysis,stimulation,2
salinity,particulateorganic-matter,2
adhd,childhood,4
k-function,epidemiology,4
spatial-patterns,brain,2
spatialecology,dynamics,4
arabidopsis-thaliana,organization,2
soil-moisture,patterns,2
wind,classification,2
populationstructure,local,2
yangtze-river,pollution,2
biotic,index,2
surfacetopologyandupperlevel,remotely,2
trajectories,discovery,2
multiscaleassessment,eigenvaluesasfractals,2
humanauditory-cortex,humanamygdala,2
iberianpeninsula,20th-century,4
decomposition,diversity,4
machinelearning,network,2
tracking,behavior,4
diseaserisk,age,2
infectious-disease,health,2
mass-spectrometry,carbon-cycle,2
leptospirosis,zoonoses,4
diversity,turkey,2
celldivision,segregation,2
carbon-dioxide,primaryproductivity,2
transgenic,regulatoryelements,2
embryogenesis,acid,2
dna,computer-program,2
pm10,health,2
integration,globalization,2
southeasternunited-states,coast,2
plasmodium-falciparumtransmission,environmental-factors,2
assemblages,resilience,2
community,mineralization,2
heavy-metals,samples,2
zinc,southern-california,2
event-relatedfmri,cluster-sizeinference,2
endophenotypes,magnetic,2
resolvedlayer,field,2
blind,artifacts,2
seedlingrecruitment,ecology,2
sets,visualizationandcommunication,2
netprimaryproduction,tree,2
spatial-temporalmodel,china,2
